,open_time,open,high,low,close,volume,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,timestamp,MA_7,MA_14,MA_21,MA_30,MA_55,MA_100,MA_200,EMA_7,EMA_14,EMA_21,EMA_30,EMA_55,EMA_100,EMA_200,RSI,RSI_signal,RSI_bull_bear,Stoch_RSI_K,Stoch_RSI_D,MACD,MACD_SL,MA_Signal_7_14,MA_Signal_7_21,MA_Signal_7_30,MA_Signal_7_55,MA_Signal_7_100,MA_Signal_7_200,MA_Signal_14_21,MA_Signal_14_30,MA_Signal_14_55,MA_Signal_14_100,MA_Signal_14_200,MA_Signal_21_30,MA_Signal_21_55,MA_Signal_21_100,MA_Signal_21_200,MA_Signal_30_55,MA_Signal_30_100,MA_Signal_30_200,MA_Signal_55_100,MA_Signal_55_200,MA_Signal_100_200,MA_positions_7_14,MA_positions_7_21,MA_positions_7_30,MA_positions_7_55,MA_positions_7_100,MA_positions_7_200,MA_positions_14_21,MA_positions_14_30,MA_positions_14_55,MA_positions_14_100,MA_positions_14_200,MA_positions_21_30,MA_positions_21_55,MA_positions_21_100,MA_positions_21_200,MA_positions_30_55,MA_positions_30_100,MA_positions_30_200,MA_positions_55_100,MA_positions_55_200,MA_positions_100_200,EMA_Signal_7_14,EMA_Signal_7_21,EMA_Signal_7_30,EMA_Signal_7_55,EMA_Signal_7_100,EMA_Signal_7_200,EMA_Signal_14_21,EMA_Signal_14_30,EMA_Signal_14_55,EMA_Signal_14_100,EMA_Signal_14_200,EMA_Signal_21_30,EMA_Signal_21_55,EMA_Signal_21_100,EMA_Signal_21_200,EMA_Signal_30_55,EMA_Signal_30_100,EMA_Signal_30_200,EMA_Signal_55_100,EMA_Signal_55_200,EMA_Signal_100_200,EMA_positions_7_14,EMA_positions_7_21,EMA_positions_7_30,EMA_positions_7_55,EMA_positions_7_100,EMA_positions_7_200,EMA_positions_14_21,EMA_positions_14_30,EMA_positions_14_55,EMA_positions_14_100,EMA_positions_14_200,EMA_positions_21_30,EMA_positions_21_55,EMA_positions_21_100,EMA_positions_21_200,EMA_positions_30_55,EMA_positions_30_100,EMA_positions_30_200,EMA_positions_55_100,EMA_positions_55_200,EMA_positions_100_200,MACD_positions,MACD_crossover,Stoch_RSI_pos,Stoch_RSI_crossover,HA_open,HA_close,HA_is_green,HA_single_wick,HA_reversal,HA_engulfs,vol_scaled_Zscore,MA_7_slope,MA_14_slope,MA_21_slope,MA_30_slope,MA_55_slope,MA_100_slope,MA_200_slope,EMA_7_slope,EMA_14_slope,EMA_21_slope,EMA_30_slope,EMA_55_slope,EMA_100_slope,EMA_200_slope,MACD_slope,MACD_SL_slope,vol_scaled_Zscore_slope,MA_7_slope_change,MA_14_slope_change,MA_21_slope_change,MA_30_slope_change,MA_55_slope_change,MA_100_slope_change,MA_200_slope_change,EMA_7_slope_change,EMA_14_slope_change,EMA_21_slope_change,EMA_30_slope_change,EMA_55_slope_change,EMA_100_slope_change,EMA_200_slope_change,MACD_slope_change,MACD_SL_slope_change,vol_scaled_Zscore_slope_change
0,1503014400000,4285.08,4371.52,3938.77,4108.37,1199.8883,1503100799999,5086958.30617151,5233,972.86871,4129123.31651808,2017-08-19 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4108.37,4108.37,4108.37,4108.37,4108.37,4108.37,4108.37,100.0,-1.0,1.0,88.2404708083119,88.2404708083119,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4175.286,4159.8555,0,0,0,0,0.00018630267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1,1503100800000,4108.37,4184.69,3850.0,4139.98,381.30975,1503187199999,1549483.73542151,2153,274.336042,1118001.87008735,2017-08-20 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4116.2725,4112.585,4111.2437,4110.4097,4109.499,4108.996,4108.6846,100.0,-1.0,1.0,88.2404708083119,88.2404708083119,2.5215845,0.5043169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4175.286,4075.7063,0,0,0,0,0.00018630267,0,0,0,0,0,0,0,82,76,70,63,48,32,17,68,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2,1503187200000,4120.98,4211.08,4032.62,4086.29,467.083,1503273599999,1930364.39032646,2321,376.795947,1557401.3337373,2017-08-21 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4108.777,4109.0786,4108.975,4108.8535,4108.67,4108.5464,4108.462,100.0,-1.0,1.0,88.2404708083119,88.2404708083119,0.18549065,0.44055167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4144.787,4125.507,0,0,0,0,0.00018630267,0,0,0,0,0,0,0,-82,-74,-66,-57,-39,-24,-12,-66,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1503273600000,4069.13,4119.62,3911.79,4016.0,691.74304,1503359999999,2797231.71402728,3972,557.356107,2255662.55315837,2017-08-22 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4085.5828,4096.6685,4100.523,4102.863,4105.3604,4106.714,4107.542,16.890915428682277,1.0,-1.0,88.2404708083119,88.2404708083119,-7.254079,-1.0983745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118.858,4047.0073,0,0,0,0,0.00018630267,0,0,0,0,0,0,0,-87,-85,-83,-80,-73,-61,-42,-82,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1503360000000,4016.0,4104.82,3400.0,4040.0,966.6849,1503446399999,3752505.77214051,6494,423.995181,1637188.36934226,2017-08-23 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4074.187,4089.1125,4095.0208,4098.807,4103.0264,4105.3926,4106.8696,30.569359621464386,0.0,-1.0,88.2404708083119,88.2404708083119,-11.085604,-3.0958202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070.698,3868.0908,0,0,0,0,0.00018630267,0,0,0,0,0,0,0,-84,-82,-79,-76,-66,-52,-33,-75,-63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
5,1503446400000,4040.0,4265.8,4013.89,4114.01,1001.13654,1503532799999,4148686.46581968,8629,309.419092,1293567.09519463,2017-08-24 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4084.1428,4092.4321,4096.747,4099.788,4103.4185,4105.5635,4106.941,56.21223332506219,0.0,1.0,88.2404708083119,88.2404708083119,-8.057266,-4.0881095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969.7056,4088.705,1,1,1,0,0.00018630267,0,0,0,0,0,0,0,84,73,59,44,21,9,4,71,-44,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
6,1503532800000,4147.0,4371.68,4085.01,4316.01,787.41876,1503619199999,3296476.41316476,6247,206.820412,868379.0641312,2017-08-25 01:59:59.999,4117.2373,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4142.1094,4122.2427,4116.68,4113.738,4111.011,4109.7305,4109.021,79.75715674096685,-1.0,1.0,88.2404708083119,88.2404708083119,10.521144,-1.1662588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4066.7124,4183.957,1,1,0,0,0.00018630267,0,0,0,0,0,0,0,89,88,87,85,82,76,64,86,71,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
7,1503619200000,4316.01,4453.91,4247.48,4280.68,573.61273,1503705599999,2484637.34936327,6554,100.097974,434577.13574645,2017-08-26 01:59:59.999,4141.853,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4176.752,4143.3677,4131.5894,4124.5083,4117.071,4113.1157,4110.729,71.94971588330314,-1.0,1.0,88.2404708083119,88.2404708083119,22.138664,3.4947257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4144.716,4287.375,1,1,0,0,0.00018630267,87,0,0,0,0,0,0,88,87,86,84,80,73,59,85,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,1503705600000,4280.71,4367.0,4212.41,4337.44,228.10806,1503791999999,977865.7333321,2260,56.190141,241363.80050245,2017-08-27 01:59:59.999,4170.0615,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4216.9243,4169.2437,4150.3027,4138.2456,4124.941,4117.5576,4112.985,76.25801603028808,-1.0,1.0,88.2404708083119,88.2404708083119,35.516262,9.899033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4267.449,4287.6646,1,0,0,0,0.00018630267,87,0,0,0,0,0,0,88,87,86,85,82,77,66,85,81,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
9,1503792000000,4332.51,4400.0,4285.54,4310.01,350.6926,1503878399999,1521580.06202557,3670,101.651358,442442.17937215,2017-08-28 01:59:59.999,4202.0215,4285.9277,4361.7656,4239.6636,4209.047,5314.816,8792.335,4240.1953,4188.0127,4164.822,4149.327,4131.551,4121.3687,4114.9453,70.24209601333503,-1.0,1.0,88.2404708083119,88.2404708083119,43.40438,16.600101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4301.072,4328.1924,1,0,0,0,0.00018630267,88,0,0,0,0,0,0,87,86,86,84,81,75,62,82,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
